○ 통계표명 :,전국 및 시도별 치매유병현황,,,,,,
○ 수록기간 :,년 2015 ~ 2065,,,,,,
○ 출처1 :,치매유병현황: 중앙치매센터,,,,,,
○ 출처2 :,"노인인구수: 통계청(주민인구연앙인구, 2015-2018)
통계청(장래인구추계, 2019-2065)",,,,,,
○ 자료다운일자 :,2019-12-02 14:32,,,,,,
○ 통계표URL :,https://www.nid.or.kr/info/ub_2019.aspx?no=43406,,,,,,
2018,강원도,양구군,전체,80~84세,646,136,21.07%
2018,강원도,양구군,전체,85세이상,464,180,38.86%
2018,강원도,양구군,전체,60세이상,"6,025",513,8.52%
2018,강원도,양구군,전체,65세이상,"4,255",502,11.79%
2018,강원도,인제군,전체,65~69세,"1,530",21,1.40%
2018,강원도,인제군,전체,70~74세,"1,435",56,3.90%
2018,강원도,인제군,전체,75~79세,"1,431",169,11.81%
2018,강원도,인제군,전체,80~84세,865,182,21.01%
2018,강원도,인제군,전체,85세이상,624,242,38.78%
2018,강원도,인제군,전체,60세이상,"8,506",688,8.09%
2018,강원도,인제군,전체,65세이상,"5,884",670,11.39%
2018,강원도,고성군,전체,65~69세,"1,818",25,1.39%
2018,강원도,고성군,전체,70~74세,"1,848",70,3.81%
2018,강원도,고성군,전체,75~79세,"1,786",212,11.86%
2018,강원도,고성군,전체,80~84세,"1,062",224,21.13%
2018,강원도,고성군,전체,85세이상,806,308,38.23%
2018,강원도,고성군,전체,60세이상,"10,014",857,8.56%
2018,강원도,고성군,전체,65세이상,"7,319",840,11.47%
2018,강원도,양양군,전체,65~69세,"1,939",27,1.39%
2018,강원도,양양군,전체,70~74세,"1,933",75,3.86%
2018,강원도,양양군,전체,75~79세,"1,740",205,11.79%
2018,강원도,양양군,전체,80~84세,"1,042",218,20.92%
2018,강원도,양양군,전체,85세이상,740,281,38.05%
2018,강원도,양양군,전체,60세이상,"10,108",823,8.14%
2018,강원도,양양군,전체,65세이상,"7,393",806,10.90%
2018,충청북도,충청북도,전체,65~69세,"74,428","1,041",1.40%
2018,충청북도,충청북도,전체,70~74세,"59,064","2,275",3.85%
2018,충청북도,충청북도,전체,75~79세,"57,626","6,856",11.90%
2018,충청북도,충청북도,전체,80~84세,"39,148","8,254",21.08%
2018,충청북도,충청북도,전체,85세이상,"24,749","9,488",38.34%
2018,충청북도,충청북도,전체,60세이상,"367,331","28,614",7.79%
2018,충청북도,충청북도,전체,65세이상,"255,013","27,913",10.95%
2018,충청북도,청주시,전체,65~69세,"30,785",429,1.39%
2018,충청북도,청주시,전체,70~74세,"23,370",899,3.85%
2018,충청북도,청주시,전체,75~79세,"20,797","2,478",11.91%
2018,충청북도,청주시,전체,80~84세,"13,994","2,954",21.11%
2018,충청북도,청주시,전체,85세이상,"9,024","3,428",37.99%
2018,충청북도,청주시,전체,60세이상,"147,297","10,491",7.12%
2018,충청북도,청주시,전체,65세이상,"97,968","10,188",10.40%
2018,충청북도,상당구,전체,65~69세,"7,518",105,1.40%
2018,충청북도,상당구,전체,70~74세,"5,917",227,3.84%
2018,충청북도,상당구,전체,75~79세,"5,488",654,11.91%
2018,충청북도,상당구,전체,80~84세,"3,708",782,21.10%
2018,충청북도,상당구,전체,85세이상,"2,376",907,38.16%
2018,충청북도,상당구,전체,60세이상,"36,666","2,747",7.49%
2018,충청북도,상당구,전체,65세이상,"25,005","2,674",10.69%
2018,충청북도,서원구,전체,65~69세,"8,279",115,1.38%
2018,충청북도,서원구,전체,70~74세,"6,255",241,3.85%
2018,충청북도,서원구,전체,75~79세,"5,410",644,11.91%
2018,충청북도,서원구,전체,80~84세,"3,632",764,21.02%
2018,충청북도,서원구,전체,85세이상,"2,390",901,37.70%
2018,충청북도,서원구,전체,60세이상,"39,249","2,745",6.99%
2018,충청북도,서원구,전체,65세이상,"25,965","2,664",10.26%
2018,충청북도,흥덕구,전체,65~69세,"8,373",117,1.40%
2018,충청북도,흥덕구,전체,70~74세,"5,985",231,3.85%
2018,충청북도,흥덕구,전체,75~79세,"5,122",611,11.94%
2018,충청북도,흥덕구,전체,80~84세,"3,490",737,21.11%
2018,충청북도,흥덕구,전체,85세이상,"2,231",847,37.98%
2018,충청북도,흥덕구,전체,60세이상,"39,046","2,629",6.73%
2018,충청북도,흥덕구,전체,65세이상,"25,200","2,543",10.09%
2018,충청북도,청원구,전체,65~69세,"6,615",93,1.40%
2018,충청북도,청원구,전체,70~74세,"5,213",200,3.84%
2018,충청북도,청원구,전체,75~79세,"4,779",568,11.90%
2018,충청북도,청원구,전체,80~84세,"3,165",671,21.21%
2018,충청북도,청원구,전체,85세이상,"2,028",774,38.16%
2018,충청북도,청원구,전체,60세이상,"32,337","2,370",7.33%
2018,충청북도,청원구,전체,65세이상,"21,799","2,306",10.58%
2018,충청북도,충주시,전체,65~69세,"10,439",145,1.39%
2018,충청북도,충주시,전체,70~74세,"8,688",334,3.84%
2018,충청북도,충주시,전체,75~79세,"8,789","1,044",11.88%
2018,충청북도,충주시,전체,80~84세,"5,738","1,209",21.07%
2018,충청북도,충주시,전체,85세이상,"3,514","1,356",38.60%
2018,충청북도,충주시,전체,60세이상,"52,951","4,187",7.91%
2018,충청북도,충주시,전체,65세이상,"37,168","4,088",11%
2018,충청북도,제천시,전체,65~69세,"7,770",109,1.40%
2018,충청북도,제천시,전체,70~74세,"6,211",240,3.86%
2018,충청북도,제천시,전체,75~79세,"5,962",708,11.87%
2018,충청북도,제천시,전체,80~84세,"3,730",782,20.95%
2018,충청북도,제천시,전체,85세이상,"2,230",860,38.55%
2018,충청북도,제천시,전체,60세이상,"37,363","2,769",7.41%
2018,충청북도,제천시,전체,65세이상,"25,903","2,698",10.41%
2018,충청북도,보은군,전체,65~69세,"2,541",36,1.42%
2018,충청북도,보은군,전체,70~74세,"2,178",84,3.86%
2018,충청북도,보은군,전체,75~79세,"2,526",302,11.96%
2018,충청북도,보은군,전체,80~84세,"1,916",404,21.10%
2018,충청북도,보은군,전체,85세이상,"1,300",503,38.72%
2018,충청북도,보은군,전체,60세이상,"13,974","1,352",9.67%
2018,충청북도,보은군,전체,65세이상,"10,460","1,330",12.71%
2018,충청북도,옥천군,전체,65~69세,"3,858",55,1.42%
2018,충청북도,옥천군,전체,70~74세,"2,901",112,3.86%
2018,충청북도,옥천군,전체,75~79세,"3,167",378,11.93%
2018,충청북도,옥천군,전체,80~84세,"2,323",489,21.06%
2018,충청북도,옥천군,전체,85세이상,"1,571",606,38.57%
2018,충청북도,옥천군,전체,60세이상,"18,715","1,670",8.93%
2018,충청북도,옥천군,전체,65세이상,"13,819","1,639",11.86%
2018,충청북도,영동군,전체,65~69세,"3,625",50,1.38%
2018,충청북도,영동군,전체,70~74세,"3,035",116,3.83%
2018,충청북도,영동군,전체,75~79세,"3,465",413,11.92%
2018,충청북도,영동군,전체,80~84세,"2,447",516,21.10%
2018,충청북도,영동군,전체,85세이상,"1,549",599,38.70%
2018,충청북도,영동군,전체,60세이상,"18,730","1,725",9.21%
2018,충청북도,영동군,전체,65세이상,"14,120","1,695",12.01%
2018,충청북도,진천군,전체,65~69세,"3,346",47,1.41%
2018,충청북도,진천군,전체,70~74세,"2,672",103,3.86%
2018,충청북도,진천군,전체,75~79세,"2,739",326,11.89%
2018,충청북도,진천군,전체,80~84세,"2,098",443,21.10%
2018,충청북도,진천군,전체,85세이상,"1,191",454,38.09%
2018,충청북도,진천군,전체,60세이상,"17,110","1,404",8.21%
2018,충청북도,진천군,전체,65세이상,"12,045","1,372",11.39%
2018,충청북도,괴산군,전체,65~69세,"3,126",44,1.41%
2018,충청북도,괴산군,전체,70~74세,"2,661",103,3.88%
2018,충청북도,괴산군,전체,75~79세,"2,867",341,11.90%
2018,충청북도,괴산군,전체,80~84세,"1,979",417,21.06%
2018,충청북도,괴산군,전체,85세이상,"1,278",491,38.40%
2018,충청북도,괴산군,전체,60세이상,"16,244","1,424",8.77%
2018,충청북도,괴산군,전체,65세이상,"11,910","1,396",11.72%
2018,충청북도,음성군,전체,65~69세,"5,034",71,1.42%
2018,충청북도,음성군,전체,70~74세,"4,052",158,3.89%
2018,충청북도,음성군,전체,75~79세,"4,054",479,11.82%
2018,충청북도,음성군,전체,80~84세,"2,771",585,21.12%
2018,충청북도,음성군,전체,85세이상,"1,824",703,38.54%
2018,충청북도,음성군,전체,60세이상,"25,299","2,045",8.08%
2018,충청북도,음성군,전체,65세이상,"17,734","1,996",11.26%
2018,충청북도,단양군,전체,65~69세,"2,264",32,1.41%
2018,충청북도,단양군,전체,70~74세,"1,940",74,3.82%
2018,충청북도,단양군,전체,75~79세,"1,969",234,11.88%
2018,충청북도,단양군,전체,80~84세,"1,263",266,21.05%
2018,충청북도,단양군,전체,85세이상,757,291,38.51%
2018,충청북도,단양군,전체,60세이상,"11,405",918,8.05%
2018,충청북도,단양군,전체,65세이상,"8,193",897,10.95%
2018,충청북도,증평군,전체,65~69세,"1,642",23,1.40%
2018,충청북도,증평군,전체,70~74세,"1,358",52,3.86%
2018,충청북도,증평군,전체,75~79세,"1,292",153,11.88%
2018,충청북도,증평군,전체,80~84세,891,189,21.21%
2018,충청북도,증평군,전체,85세이상,514,196,38.22%
2018,충청북도,증평군,전체,60세이상,"8,246",630,7.64%
2018,충청북도,증평군,전체,65세이상,"5,696",614,10.78%
2018,충청남도,충청남도,전체,65~69세,"102,735","1,435",1.40%
2018,충청남도,충청남도,전체,70~74세,"80,991","3,127",3.86%
2018,충청남도,충청남도,전체,75~79세,"81,032","9,657",11.92%
2018,충청남도,충청남도,전체,80~84세,"59,929","12,587",21%
2018,충청남도,충청남도,전체,85세이상,"39,819","15,468",38.85%
2018,충청남도,충청남도,전체,60세이상,"502,243","43,132",8.59%
2018,충청남도,충청남도,전체,65세이상,"364,506","42,274",11.60%
2018,충청남도,천안시,전체,65~69세,"19,699",276,1.40%
2018,충청남도,천안시,전체,70~74세,"14,429",556,3.86%
2018,충청남도,천안시,전체,75~79세,"12,745","1,520",11.93%
2018,충청남도,천안시,전체,80~84세,"8,677","1,828",21.06%
2018,충청남도,천안시,전체,85세이상,"5,857","2,261",38.61%
2018,충청남도,천안시,전체,60세이상,"92,298","6,636",7.19%
2018,충청남도,천안시,전체,65세이상,"61,405","6,441",10.49%
2018,충청남도,동남구,전체,65~69세,"10,240",144,1.40%
2018,충청남도,동남구,전체,70~74세,"7,429",287,3.87%
2018,충청남도,동남구,전체,75~79세,"6,605",786,11.90%
2018,충청남도,동남구,전체,80~84세,"4,636",975,21.03%
2018,충청남도,동남구,전체,85세이상,"3,191","1,232",38.60%
2018,충청남도,동남구,전체,60세이상,"47,408","3,519",7.42%
2018,충청남도,동남구,전체,65세이상,"32,099","3,424",10.67%
2018,충청남도,서북구,전체,65~69세,"9,460",132,1.39%
2018,충청남도,서북구,전체,70~74세,"7,000",269,3.84%
2018,충청남도,서북구,전체,75~79세,"6,140",734,11.95%
2018,충청남도,서북구,전체,80~84세,"4,041",853,21.10%
2018,충청남도,서북구,전체,85세이상,"2,666","1,030",38.62%
2018,충청남도,서북구,전체,60세이상,"44,890","3,116",6.94%
2018,충청남도,서북구,전체,65세이상,"29,306","3,017",10.30%
2018,충청남도,공주시,전체,65~69세,"6,860",97,1.41%
2018,충청남도,공주시,전체,70~74세,"5,296",204,3.86%
2018,충청남도,공주시,전체,75~79세,"5,711",681,11.92%
2018,충청남도,공주시,전체,80~84세,"4,209",883,20.98%
2018,충청남도,공주시,전체,85세이상,"2,962","1,160",39.18%
2018,충청남도,공주시,전체,60세이상,"34,242","3,082",9%
2018,충청남도,공주시,전체,65세이상,"25,037","3,025",12.08%
2018,충청남도,보령시,전체,65~69세,"6,771",94,1.39%
2018,충청남도,보령시,전체,70~74세,"5,392",207,3.85%
2018,충청남도,보령시,전체,75~79세,"5,234",622,11.89%
2018,충청남도,보령시,전체,80~84세,"3,760",789,20.99%
2018,충청남도,보령시,전체,85세이상,"2,478",954,38.48%
2018,충청남도,보령시,전체,60세이상,"32,184","2,719",8.45%
2018,충청남도,보령시,전체,65세이상,"23,635","2,666",11.28%
2018,충청남도,아산시,전체,65~69세,"10,942",151,1.38%
2018,충청남도,아산시,전체,70~74세,"8,657",333,3.85%
2018,충청남도,아산시,전체,75~79세,"8,151",970,11.90%
2018,충청남도,아산시,전체,80~84세,"5,774","1,214",21.02%
2018,충청남도,아산시,전체,85세이상,"3,664","1,418",38.70%
2018,충청남도,아산시,전체,60세이상,"52,733","4,182",7.93%
2018,충청남도,아산시,전체,65세이상,"37,187","4,086",10.99%
2018,충청남도,서산시,전체,65~69세,"8,338",117,1.41%
2018,충청남도,서산시,전체,70~74세,"6,405",249,3.88%
2018,충청남도,서산시,전체,75~79세,"6,373",756,11.87%
2018,충청남도,서산시,전체,80~84세,"4,824","1,014",21.02%
2018,충청남도,서산시,전체,85세이상,"3,330","1,281",38.47%
2018,충청남도,서산시,전체,60세이상,"39,763","3,482",8.76%
2018,충청남도,서산시,전체,65세이상,"29,270","3,417",11.67%
2018,충청남도,논산시,전체,65~69세,"7,613",106,1.39%
2018,충청남도,논산시,전체,70~74세,"6,180",238,3.85%
2018,충청남도,논산시,전체,75~79세,"6,523",780,11.95%
2018,충청남도,논산시,전체,80~84세,"4,971","1,046",21.04%
2018,충청남도,논산시,전체,85세이상,"3,290","1,288",39.16%
2018,충청남도,논산시,전체,60세이상,"38,716","3,522",9.10%
2018,충청남도,논산시,전체,65세이상,"28,575","3,458",12.10%
2018,충청남도,계룡시,전체,65~69세,"1,358",19,1.39%
2018,충청남도,계룡시,전체,70~74세,968,38,3.90%
2018,충청남도,계룡시,전체,75~79세,835,101,12.08%
2018,충청남도,계룡시,전체,80~84세,641,137,21.39%
2018,충청남도,계룡시,전체,85세이상,475,181,38.08%
2018,충청남도,계룡시,전체,60세이상,"6,520",489,7.50%
2018,충청남도,계룡시,전체,65세이상,"4,276",475,11.11%
2018,충청남도,당진시,전체,65~69세,"7,982",112,1.40%
2018,충청남도,당진시,전체,70~74세,"6,191",241,3.89%
2018,충청남도,당진시,전체,75~79세,"6,399",758,11.85%
2018,충청남도,당진시,전체,80~84세,"4,846","1,015",20.94%
2018,충청남도,당진시,전체,85세이상,"3,056","1,188",38.89%
2018,충청남도,당진시,전체,60세이상,"38,916","3,380",8.69%
2018,충청남도,당진시,전체,65세이상,"28,472","3,314",11.64%
2018,충청남도,금산군,전체,65~69세,"3,872",54,1.40%
2018,충청남도,금산군,전체,70~74세,"3,247",125,3.85%
2018,충청남도,금산군,전체,75~79세,"3,627",434,11.97%
2018,충청남도,금산군,전체,80~84세,"2,583",545,21.09%
2018,충청남도,금산군,전체,85세이상,"1,622",629,38.81%
2018,충청남도,금산군,전체,60세이상,"19,868","1,819",9.15%
2018,충청남도,금산군,전체,65세이상,"14,949","1,787",11.96%
2018,충청남도,부여군,전체,65~69세,"5,351",75,1.40%
2018,충청남도,부여군,전체,70~74세,"4,410",170,3.86%
2018,충청남도,부여군,전체,75~79세,"4,846",578,11.92%
2018,충청남도,부여군,전체,80~84세,"3,846",808,21%
2018,충청남도,부여군,전체,85세이상,"2,723","1,063",39.03%
2018,충청남도,부여군,전체,60세이상,"27,803","2,734",9.84%
2018,충청남도,부여군,전체,65세이상,"21,175","2,693",12.72%
2018,충청남도,서천군,전체,65~69세,"4,451",62,1.39%
2018,충청남도,서천군,전체,70~74세,"3,879",149,3.85%
2018,충청남도,서천군,전체,75~79세,"4,120",494,11.99%
2018,충청남도,서천군,전체,80~84세,"3,083",644,20.90%
2018,충청남도,서천군,전체,85세이상,"2,315",902,38.97%
2018,충청남도,서천군,전체,60세이상,"22,966","2,283",9.94%
2018,충청남도,서천군,전체,65세이상,"17,847","2,252",12.62%
2018,충청남도,청양군,전체,65~69세,"2,537",36,1.42%
2018,충청남도,청양군,전체,70~74세,"2,081",80,3.86%
2018,충청남도,청양군,전체,75~79세,"2,425",290,11.97%
2018,충청남도,청양군,전체,80~84세,"2,089",438,20.96%
2018,충청남도,청양군,전체,85세이상,"1,303",515,39.50%
2018,충청남도,청양군,전체,60세이상,"13,507","1,378",10.20%
2018,충청남도,청양군,전체,65세이상,"10,434","1,359",13.02%
2018,충청남도,홍성군,전체,65~69세,"5,933",82,1.38%
2018,충청남도,홍성군,전체,70~74세,"4,714",182,3.86%
2018,충청남도,홍성군,전체,75~79세,"4,908",587,11.96%
2018,충청남도,홍성군,전체,80~84세,"3,904",820,20.99%
2018,충청남도,홍성군,전체,85세이상,"2,469",966,39.13%
2018,충청남도,홍성군,전체,60세이상,"29,227","2,682",9.18%
2018,충청남도,홍성군,전체,65세이상,"21,928","2,637",12.02%
2018,충청남도,예산군,전체,65~69세,"5,978",83,1.39%
2018,충청남도,예산군,전체,70~74세,"4,867",188,3.86%
2018,충청남도,예산군,전체,75~79세,"5,256",624,11.87%
2018,충청남도,예산군,전체,80~84세,"4,101",857,20.89%
2018,충청남도,예산군,전체,85세이상,"2,475",964,38.95%
2018,충청남도,예산군,전체,60세이상,"30,008","2,762",9.20%
2018,충청남도,예산군,전체,65세이상,"22,676","2,716",11.98%
2018,충청남도,태안군,전체,65~69세,"5,054",71,1.40%
2018,충청남도,태안군,전체,70~74세,"4,280",166,3.88%
2018,충청남도,태안군,전체,75~79세,"3,883",461,11.88%
2018,충청남도,태안군,전체,80~84세,"2,624",552,21.02%
2018,충청남도,태안군,전체,85세이상,"1,804",698,38.69%
2018,충청남도,태안군,전체,60세이상,"23,497","1,983",8.44%
2018,충청남도,태안군,전체,65세이상,"17,644","1,948",11.04%
2018,전라북도,전라북도,전체,65~69세,"99,138","1,378",1.39%
2018,전라북도,전라북도,전체,70~74세,"81,418","3,131",3.85%
2018,전라북도,전라북도,전체,75~79세,"79,612","9,523",11.96%
2018,전라북도,전라북도,전체,80~84세,"54,606","11,528",21.11%
2018,전라북도,전라북도,전체,85세이상,"37,305","14,339",38.44%
2018,전라북도,전라북도,전체,60세이상,"479,744","40,690",8.48%
2018,전라북도,전라북도,전체,65세이상,"352,078","39,899",11.33%
2018,전라북도,전주시,전체,65~69세,"28,044",387,1.38%
2018,전라북도,전주시,전체,70~74세,"21,218",817,3.85%
2018,전라북도,전주시,전체,75~79세,"18,004","2,133",11.85%
2018,전라북도,전주시,전체,80~84세,"11,464","2,407",21%
2018,전라북도,전주시,전체,85세이상,"7,513","2,900",38.60%
2018,전라북도,전주시,전체,60세이상,"124,553","8,875",7.13%
2018,전라북도,전주시,전체,65세이상,"86,242","8,644",10.02%
2018,전라북도,완산구,전체,65~69세,"15,702",217,1.38%
2018,전라북도,완산구,전체,70~74세,"11,633",448,3.85%
2018,전라북도,완산구,전체,75~79세,"9,711","1,153",11.87%
2018,전라북도,완산구,전체,80~84세,"6,325","1,331",21.05%
2018,전라북도,완산구,전체,85세이상,"4,315","1,658",38.43%
2018,전라북도,완산구,전체,60세이상,"69,385","4,937",7.11%
2018,전라북도,완산구,전체,65세이상,"47,684","4,806",10.08%
2018,전라북도,덕진구,전체,65~69세,"12,342",171,1.38%
2018,전라북도,덕진구,전체,70~74세,"9,586",369,3.85%
2018,전라북도,덕진구,전체,75~79세,"8,293",980,11.82%
2018,전라북도,덕진구,전체,80~84세,"5,139","1,076",20.94%
2018,전라북도,덕진구,전체,85세이상,"3,199","1,242",38.83%
2018,전라북도,덕진구,전체,60세이상,"55,169","3,939",7.14%
2018,전라북도,덕진구,전체,65세이상,"38,558","3,838",9.95%
2018,전라북도,군산시,전체,65~69세,"14,102",197,1.40%
2018,전라북도,군산시,전체,70~74세,"11,212",433,3.86%
2018,전라북도,군산시,전체,75~79세,"9,333","1,111",11.90%
2018,전라북도,군산시,전체,80~84세,"5,847","1,230",21.03%
2018,전라북도,군산시,전체,85세이상,"4,216","1,605",38.06%
2018,전라북도,군산시,전체,60세이상,"63,507","4,692",7.39%
2018,전라북도,군산시,전체,65세이상,"44,709","4,575",10.23%
2018,전라북도,익산시,전체,65~69세,"15,123",211,1.39%
2018,전라북도,익산시,전체,70~74세,"11,620",447,3.85%
2018,전라북도,익산시,전체,75~79세,"11,009","1,317",11.97%
2018,전라북도,익산시,전체,80~84세,"7,400","1,564",21.14%
2018,전라북도,익산시,전체,85세이상,"5,363","2,057",38.35%
2018,전라북도,익산시,전체,60세이상,"71,044","5,723",8.06%
2018,전라북도,익산시,전체,65세이상,"50,514","5,596",11.08%
2018,전라북도,정읍시,전체,65~69세,"6,932",96,1.38%
2018,전라북도,정읍시,전체,70~74세,"6,353",244,3.83%
2018,전라북도,정읍시,전체,75~79세,"6,822",820,12.01%
2018,전라북도,정읍시,전체,80~84세,"4,962","1,049",21.13%
2018,전라북도,정읍시,전체,85세이상,"3,263","1,245",38.16%
2018,전라북도,정읍시,전체,60세이상,"36,796","3,505",9.53%
2018,전라북도,정읍시,전체,65세이상,"28,331","3,453",12.19%
2018,전라북도,남원시,전체,65~69세,"5,308",74,1.39%
2018,전라북도,남원시,전체,70~74세,"4,611",176,3.82%
2018,전라북도,남원시,전체,75~79세,"5,011",603,12.03%
2018,전라북도,남원시,전체,80~84세,"3,748",794,21.20%
2018,전라북도,남원시,전체,85세이상,"2,546",987,38.77%
2018,전라북도,남원시,전체,60세이상,"27,532","2,673",9.71%
2018,전라북도,남원시,전체,65세이상,"21,223","2,634",12.41%
2018,전라북도,김제시,전체,65~69세,"6,170",86,1.39%
2018,전라북도,김제시,전체,70~74세,"5,391",207,3.83%
2018,전라북도,김제시,전체,75~79세,"5,866",704,12%
2018,전라북도,김제시,전체,80~84세,"4,354",922,21.19%
2018,전라북도,김제시,전체,85세이상,"3,209","1,236",38.53%
2018,전라북도,김제시,전체,60세이상,"32,235","3,201",9.93%
2018,전라북도,김제시,전체,65세이상,"24,989","3,155",12.63%
2018,전라북도,완주군,전체,65~69세,"5,355",76,1.41%
2018,전라북도,완주군,전체,70~74세,"4,391",170,3.87%
2018,전라북도,완주군,전체,75~79세,"4,425",529,11.96%
2018,전라북도,완주군,전체,80~84세,"3,152",664,21.07%
2018,전라북도,완주군,전체,85세이상,"2,143",823,38.39%
2018,전라북도,완주군,전체,60세이상,"26,360","2,306",8.75%
2018,전라북도,완주군,전체,65세이상,"19,465","2,262",11.62%
2018,전라북도,진안군,전체,65~69세,"1,987",28,1.41%
2018,전라북도,진안군,전체,70~74세,"1,823",71,3.87%
2018,전라북도,진안군,전체,75~79세,"2,003",239,11.96%
2018,전라북도,진안군,전체,80~84세,"1,495",317,21.19%
2018,전라북도,진안군,전체,85세이상,"1,017",392,38.59%
2018,전라북도,진안군,전체,60세이상,"10,652","1,062",9.97%
2018,전라북도,진안군,전체,65세이상,"8,324","1,047",12.58%
2018,전라북도,무주군,전체,65~69세,"1,773",24,1.38%
2018,전라북도,무주군,전체,70~74세,"1,590",60,3.80%
2018,전라북도,무주군,전체,75~79세,"1,988",238,11.96%
2018,전라북도,무주군,전체,80~84세,"1,386",293,21.13%
2018,전라북도,무주군,전체,85세이상,943,366,38.79%
2018,전라북도,무주군,전체,60세이상,"9,836",995,10.11%
2018,전라북도,무주군,전체,65세이상,"7,678",981,12.77%
2018,전라북도,장수군,전체,65~69세,"1,784",25,1.41%
2018,전라북도,장수군,전체,70~74세,"1,433",55,3.84%
2018,전라북도,장수군,전체,75~79세,"1,782",216,12.12%
2018,전라북도,장수군,전체,80~84세,"1,287",273,21.21%
2018,전라북도,장수군,전체,85세이상,841,328,39.04%
2018,전라북도,장수군,전체,60세이상,"9,157",910,9.94%
2018,전라북도,장수군,전체,65세이상,"7,127",897,12.59%
2018,전라북도,임실군,전체,65~69세,"2,189",31,1.39%
2018,전라북도,임실군,전체,70~74세,"1,986",76,3.84%
2018,전라북도,임실군,전체,75~79세,"2,441",293,12.02%
2018,전라북도,임실군,전체,80~84세,"1,824",386,21.14%
2018,전라북도,임실군,전체,85세이상,"1,228",479,38.99%
2018,전라북도,임실군,전체,60세이상,"12,091","1,281",10.59%
2018,전라북도,임실군,전체,65세이상,"9,668","1,265",13.08%
2018,전라북도,순창군,전체,65~69세,"2,011",28,1.38%
2018,전라북도,순창군,전체,70~74세,"2,006",76,3.79%
2018,전라북도,순창군,전체,75~79세,"2,448",298,12.17%
2018,전라북도,순창군,전체,80~84세,"1,698",358,21.12%
2018,전라북도,순창군,전체,85세이상,"1,075",417,38.83%
2018,전라북도,순창군,전체,60세이상,"11,589","1,192",10.29%
2018,전라북도,순창군,전체,65세이상,"9,236","1,177",12.75%
2018,전라북도,고창군,전체,65~69세,"4,216",59,1.39%
2018,전라북도,고창군,전체,70~74세,"3,998",154,3.84%
2018,전라북도,고창군,전체,75~79세,"4,596",554,12.06%
2018,전라북도,고창군,전체,80~84세,"3,121",662,21.21%
2018,전라북도,고창군,전체,85세이상,"2,092",793,37.93%
2018,전라북도,고창군,전체,60세이상,"22,988","2,252",9.80%
2018,전라북도,고창군,전체,65세이상,"18,022","2,222",12.33%
2018,전라북도,부안군,전체,65~69세,"4,147",58,1.39%
2018,전라북도,부안군,전체,70~74세,"3,789",145,3.83%
2018,전라북도,부안군,전체,75~79세,"3,888",468,12.04%
2018,전라북도,부안군,전체,80~84세,"2,871",609,21.20%
2018,전라북도,부안군,전체,85세이상,"1,860",711,38.25%
2018,전라북도,부안군,전체,60세이상,"21,407","2,021",9.44%
2018,전라북도,부안군,전체,65세이상,"16,553","1,991",12.03%
2018,전라남도,전라남도,전체,65~69세,"107,988","1,508",1.40%
2018,전라남도,전라남도,전체,70~74세,"93,384","3,580",3.83%
2018,전라남도,전라남도,전체,75~79세,"98,298","11,798",12%
2018,전라남도,전라남도,전체,80~84세,"64,300","13,664",21.25%
2018,전라남도,전라남도,전체,85세이상,"43,858","16,649",37.96%
2018,전라남도,전라남도,전체,60세이상,"539,468","48,027",8.90%
2018,전라남도,전라남도,전체,65세이상,"407,827","47,200",11.57%
2018,전라남도,목포시,전체,65~69세,"10,972",151,1.38%
2018,전라남도,목포시,전체,70~74세,"8,945",344,3.85%
2018,전라남도,목포시,전체,75~79세,"7,364",876,11.90%
2018,전라남도,목포시,전체,80~84세,"4,052",860,21.22%
2018,전라남도,목포시,전체,85세이상,"2,630","1,003",38.13%
2018,전라남도,목포시,전체,60세이상,"48,290","3,322",6.88%
2018,전라남도,목포시,전체,65세이상,"33,962","3,234",9.52%
2018,전라남도,여수시,전체,65~69세,"15,813",222,1.41%
2018,전라남도,여수시,전체,70~74세,"12,009",463,3.86%
2018,전라남도,여수시,전체,75~79세,"10,411","1,240",11.91%
2018,전라남도,여수시,전체,80~84세,"5,984","1,263",21.11%
2018,전라남도,여수시,전체,85세이상,"4,485","1,691",37.70%
2018,전라남도,여수시,전체,60세이상,"68,885","5,006",7.27%
2018,전라남도,여수시,전체,65세이상,"48,700","4,880",10.02%
2018,전라남도,순천시,전체,65~69세,"11,896",167,1.41%
2018,전라남도,순천시,전체,70~74세,"9,042",348,3.85%
2018,전라남도,순천시,전체,75~79세,"8,721","1,043",11.96%
2018,전라남도,순천시,전체,80~84세,"5,949","1,263",21.22%
2018,전라남도,순천시,전체,85세이상,"4,184","1,596",38.14%
2018,전라남도,순천시,전체,60세이상,"56,252","4,520",8.03%
2018,전라남도,순천시,전체,65세이상,"39,791","4,417",11.10%
2018,전라남도,나주시,전체,65~69세,"6,169",86,1.40%
2018,전라남도,나주시,전체,70~74세,"5,538",212,3.83%
2018,전라남도,나주시,전체,75~79세,"5,857",707,12.07%
2018,전라남도,나주시,전체,80~84세,"3,943",840,21.30%
2018,전라남도,나주시,전체,85세이상,"2,700","1,025",37.95%
2018,전라남도,나주시,전체,60세이상,"31,937","2,918",9.14%
2018,전라남도,나주시,전체,65세이상,"24,205","2,869",11.85%
2018,전라남도,광양시,전체,65~69세,"5,508",78,1.42%
2018,전라남도,광양시,전체,70~74세,"3,917",150,3.84%
